Data,Period,Organisation unit,Value
iIlheePZjCc,201501,iSzLcFdtWbX,20.0
odmSZSezPsY,201402,RPNI2yciVPb,52.0
Gk6WlfVitbC,201507,RyzLT9D4nQ6,20.0
odmSZSezPsY,201708,Wl8S53qfNST,80.0
mRVVnw1KKSL,201709,yrxkpEWxooc,160.0
kuxcnLoB85c,201412,iSzLcFdtWbX,15.0
VRD05emEwOF,201610,ikFfiR1TblB,22.0
s5PaJNvYa6i,201801,ZY5zTLYR53q,49.0
odmSZSezPsY,201802,g7eN5E9RN1V,32.0
BkGKNzv3Vn6,201602,RQiyqxziOzo,20.0
BQeaCpVaUYB,201702,zi9hv7KzZVp,14.0
iIlheePZjCc,201406,tU13hbRnCGc,40.0
g2ZhqF3DKMx,201411,JPl6BiRGUjp,240.0
OKXUzudHulV,201712,rKoTTNZLKaN,59.0
mRVVnw1KKSL,201901,uAmB8MLWUbq,100.0
g2ZhqF3DKMx,201605,RyzLT9D4nQ6,20.0
XkemTADiLv4,201603,zi9hv7KzZVp,50.0
whXQzFlRT37,201802,H3BDe6vY03G,410.0
d8MsenqQaMv,201702,HiSkD51XNEw,80.0
mRVVnw1KKSL,201601,cLBvS1WGEQF,60.0
s5PaJNvYa6i,201411,RUBAdXhzucO,47.0
AMVejJGpKI9,201409,R6tG0IzAhpv,40.0
BkGKNzv3Vn6,201410,bArGQMJx5Vs,70.0
BkGKNzv3Vn6,201502,wgWlZhxXfS5,40.0
iIlheePZjCc,201411,YTgby61ISnd,40.0
d8MsenqQaMv,201705,R6tG0IzAhpv,120.0
OKXUzudHulV,201707,cLBvS1WGEQF,453.0
BkGKNzv3Vn6,201601,q6NwSRm7CoV,20.0
whXQzFlRT37,201708,uECirbmK3vj,260.0
OKXUzudHulV,201604,gCRidS1x9ty,230.0
BQeaCpVaUYB,201408,iE17KE2PvJf,48.0
kuxcnLoB85c,201502,lqUH9qJYc2r,60.0
d8MsenqQaMv,201711,ldTs7l4tu6V,20.0
