Data,Period,Organisation unit,Value
IPaGq1MqHNk,201401,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201401,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201402,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201402,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201403,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201403,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201404,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201404,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201405,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201405,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201406,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201406,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201407,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201407,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201408,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201408,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201409,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201409,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201410,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201410,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201411,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201411,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201412,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201412,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201501,CXAJP0JoCDZ,0.0
IPaGq1MqHNk,201501,q6NwSRm7CoV,0.0
IPaGq1MqHNk,201501,BwF2JaC8lCL,0.0
IPaGq1MqHNk,201501,tU13hbRnCGc,0.0
IPaGq1MqHNk,201501,SKJI5xtKLmd,0.0
IPaGq1MqHNk,201501,VI8FnbLBPDD,0.0
IPaGq1MqHNk,201501,uAmB8MLWUbq,0.0
IPaGq1MqHNk,201501,zQdh7P5efBl,0.0
IPaGq1MqHNk,201501,dU7dDBWWWDi,0.0
