Data,Period,Organisation unit,Value
t33qItEEF1p,201401,xuVsQTby6uM,81.7
t33qItEEF1p,201401,e9NLyDiExlF,86.0
t33qItEEF1p,201401,CXAJP0JoCDZ,86.3
t33qItEEF1p,201401,IKdUHYliWr5,36.3
t33qItEEF1p,201401,RUBAdXhzucO,48.0
t33qItEEF1p,201401,fS76SN2mDYs,85.8
t33qItEEF1p,201401,LbjgDaDXJRa,0.0
t33qItEEF1p,201401,RPNI2yciVPb,45.0
t33qItEEF1p,201401,HiSkD51XNEw,110.0
t33qItEEF1p,201401,La4FiUTG0Ed,105.0
t33qItEEF1p,201401,mC4qkTGiah3,108.3
t33qItEEF1p,201401,R6tG0IzAhpv,103.0
t33qItEEF1p,201401,kfyFrKOKqnz,26.3
t33qItEEF1p,201401,SiFad15yKhZ,59.7
t33qItEEF1p,201401,q6NwSRm7CoV,60.0
t33qItEEF1p,201401,R5DowWkZPmm,105.0
t33qItEEF1p,201401,UdcrfRV5diV,41.7
t33qItEEF1p,201401,SfTrvW441Q0,75.0
t33qItEEF1p,201401,LT6XGXS57II,48.0
t33qItEEF1p,201401,rKoTTNZLKaN,63.0
t33qItEEF1p,201401,ge7aE8co40H,127.5
t33qItEEF1p,201401,QsbKIv43xwM,65.0
t33qItEEF1p,201401,YTgby61ISnd,71.7
t33qItEEF1p,201401,AcjY7Ic6kUU,0.0
t33qItEEF1p,201401,FSrkhOVFdOk,55.0
t33qItEEF1p,201401,BwF2JaC8lCL,121.7
t33qItEEF1p,201401,wgWlZhxXfS5,47.0
t33qItEEF1p,201401,tU13hbRnCGc,0.0
t33qItEEF1p,201401,KysFcG0IQYZ,70.8
t33qItEEF1p,201401,SKJI5xtKLmd,42.0
t33qItEEF1p,201401,VI8FnbLBPDD,120.0
t33qItEEF1p,201401,Udaaomim77o,83.0
t33qItEEF1p,201401,ClfJQm3Docv,95.7
t33qItEEF1p,201401,ovxDVLEpRgk,122.5
t33qItEEF1p,201401,XNmQ1GcM53S,125.0
t33qItEEF1p,201401,r7pU4IuyIJF,105.0
t33qItEEF1p,201401,oiQrJMqWJQ6,125.0
t33qItEEF1p,201401,JPl6BiRGUjp,102.5
t33qItEEF1p,201401,zi9hv7KzZVp,34.5
t33qItEEF1p,201401,FVZSGQeGAWy,87.5
t33qItEEF1p,201401,uAmB8MLWUbq,105.0
t33qItEEF1p,201401,uECirbmK3vj,107.5
t33qItEEF1p,201401,zQdh7P5efBl,100.0
t33qItEEF1p,201401,zqmymbY6VTU,150.0
t33qItEEF1p,201401,xpXgPL892GT,70.0
t33qItEEF1p,201401,yeGUcHoOF0W,101.0
t33qItEEF1p,201401,JpOeRsaZHoG,121.3
t33qItEEF1p,201401,JWdMKPTg0HL,51.5
t33qItEEF1p,201401,yrxkpEWxooc,117.5
t33qItEEF1p,201401,gCRidS1x9ty,115.0
t33qItEEF1p,201401,ZqmBdrwI59g,90.0
t33qItEEF1p,201401,cLBvS1WGEQF,118.0
t33qItEEF1p,201401,iSzLcFdtWbX,160.0
t33qItEEF1p,201401,iE17KE2PvJf,57.5
t33qItEEF1p,201401,ZwfQDUAuF1E,90.0
t33qItEEF1p,201401,jqLcZtIyJim,33.3
t33qItEEF1p,201401,dU7dDBWWWDi,89.3
